latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE
47.26340537,-122.23978059,"32",Y,,,"1",
47.26363452,-122.23977713,"32",Y,,,"1",
47.26392077,-122.23980706,"32",Y,,,"1",
47.2641776,-122.23980247,"32",Y,,,"1",
47.26443483,-122.23977189,"32",Y,,,"1",
47.26807251,-122.23705611,"32",Y,,,"1",
47.26807181,-122.2373608,"32",Y,,,"1",
47.26807084,-122.23767075,"32",Y,,,"1",
47.26806818,-122.23793433,"32",Y,,,"1",
47.26755766,-122.23785099,"32",Y,,,"1",
47.26773425,-122.2378304,"32",Y,,,"1",
47.26766507,-122.23732252,"32",Y,,,"1",
47.26754762,-122.23709157,"32",Y,,,"1",
47.26730088,-122.23706601,"32",Y,,,"1",
47.26706543,-122.2373213,"32",Y,,,"1",
47.26720741,-122.23789342,"32",Y,,,"1",
47.26702641,-122.23800244,"32",Y,,,"1",
47.26675155,-122.23800783,"32",Y,,,"1",
47.17581393,-122.02639312,"30",Y,,,"1",D
47.27844564,-122.1863668,"30",Y,,,"1",D
47.27793057,-122.18434676,"30",Y,,,"1",D
47.26854901,-122.24120298,"32",Y,,,"1",
47.26851332,-122.24100792,"32",Y,,,"1",
47.26851202,-122.24083309,"32",Y,,,"1",
47.26852096,-122.24065869,"32",Y,,,"1",
47.26852237,-122.24047452,"32",Y,,,"1",
47.26850858,-122.24030611,"32",Y,,,"1",
47.26851492,-122.24012089,"32",Y,,,"1",
47.26851226,-122.23994405,"32",Y,,,"1",
47.26850773,-122.23974941,"32",Y,,,"1",
47.26887419,-122.23977056,"32",Y,,,"1",
47.2688904,-122.23993183,"32",Y,,,"1",
47.26889442,-122.2401206,"32",Y,,,"1",
47.26889334,-122.24029135,"32",Y,,,"1",
47.26887551,-122.24047468,"32",Y,,,"1",
47.26890895,-122.24064309,"32",Y,,,"1",
47.2689168,-122.24082647,"32",Y,,,"1",
47.27379892,-122.3201742,"33",Y,,,"1",D
47.27849383,-122.18797205,"30",Y,,,"1",D
47.27289205,-122.20490647,"32",Y,,,"1",
47.27447856,-122.204728,"32",Y,,,"1",
47.27185901,-122.21652189,"32",Y,,,"1",
47.26083543,-122.25301027,"31",Y,Y,,"2",
47.26084143,-122.25318223,"31",Y,Y,,"2",
47.26083363,-122.2533698,"31",Y,Y,,"2",
47.26084512,-122.25353792,"31",Y,Y,,"2",
47.26084825,-122.25372179,"31",Y,Y,,"2",
47.26084589,-122.2539095,"31",Y,Y,,"2",
47.26084363,-122.25408923,"31",Y,Y,,"2",
47.26085486,-122.25427732,"31",Y,Y,,"2",
47.26084168,-122.25446074,"31",Y,Y,,"2",
47.26085759,-122.25470888,"31",Y,Y,,"2",
47.26085533,-122.25488861,"31",Y,Y,,"2",
47.26085574,-122.25507241,"31",Y,Y,,"2",
47.26085348,-122.25525214,"31",Y,Y,,"2",
47.26085646,-122.25544799,"31",Y,Y,,"2",
47.26061612,-122.25545978,"31",Y,Y,,"2",
47.26063353,-122.25526757,"31",Y,Y,,"2",
47.26061344,-122.2550771,"31",Y,Y,,"2",
47.26061382,-122.25489819,"31",Y,Y,,"2",
47.26061215,-122.25473299,"31",Y,Y,,"2",
47.26060978,-122.25447418,"31",Y,Y,,"2",
47.26061083,-122.25429514,"31",Y,Y,,"2",
47.2606175,-122.25412548,"31",Y,Y,,"2",
47.2606177,-122.25393145,"31",Y,Y,,"2",
47.26062217,-122.25375398,"31",Y,Y,,"2",
47.26061785,-122.25356311,"31",Y,Y,,"2",
47.26061776,-122.25339209,"31",Y,Y,,"2",
47.26061332,-122.25321109,"31",Y,Y,,"2",
47.26060025,-122.25303051,"31",Y,Y,,"2",
47.26025862,-122.25328698,"31",Y,Y,,"2",
47.26026381,-122.2535864,"31",Y,Y,,"2",
47.25954144,-122.25539582,"31",Y,Y,,"2",
47.25939918,-122.255314,"31",Y,Y,,"2",
47.2594197,-122.25494817,"31",Y,Y,,"2",
47.2594081,-122.25460486,"31",Y,Y,,"2",
47.26397279,-122.2274736,"32",Y,,,"1",
47.26168901,-122.2283144,"32",Y,,,"1",
47.26016415,-122.22826706,"32",Y,,,"1",
