Unnamed: 0,PARCEL_NO,ADDRESS1,CITY,STATE,ZIP,BLDG_VALUE,LAND_VALUE,TOTAL_VALU,LAT,LONG,LOOKUP,SUCCESS,is_threatened
11066,99800931900,4500 MARTIN WAY E # 90,OLYMPIA,WA,98516,5100.0,0.0,5100.0,0.0,0.0,1,0,
11067,99800955400,4500 MARTIN WAY E # 93,OLYMPIA,WA,98516,5800.0,0.0,5800.0,0.0,0.0,1,0,
11068,99800965000,6200 FAIR OAKS RD SE # 40,OLYMPIA,WA,98513,1600.0,0.0,1600.0,0.0,0.0,1,0,
11069,99800977300,6748 FIR TREE RD # 47,OLYMPIA,WA,98513,5200.0,0.0,5200.0,0.0,0.0,1,0,
11070,99800996000,4500 MARTIN WAY E # 75,OLYMPIA,WA,98516,6300.0,0.0,6300.0,0.0,0.0,1,0,
11071,99800996700,8510 MARTIN WAY NE # 20,OLYMPIA,WA,98516,7800.0,0.0,7800.0,0.0,0.0,1,0,
11072,99800998300,8510 MARTIN WAY E # 32,OLYMPIA,WA,98516,5100.0,0.0,5100.0,0.0,0.0,1,0,
11073,99801001200,8530 STEILACOOM RD SE # 29,OLYMPIA,WA,98513,1700.0,0.0,1700.0,0.0,0.0,1,0,
11074,99801010400,7300 32ND AVE NE # 5,OLYMPIA,WA,98516,27600.0,0.0,27600.0,0.0,0.0,1,0,
11075,99801011400,2302 ALONDA LN NE,OLYMPIA,WA,98516,25100.0,0.0,25100.0,47.05849,-122.82696,1,1,
11076,99801014800,8530 STEILACOOM RD SE # 150,LACEY,WA,98513,1900.0,0.0,1900.0,0.0,0.0,1,0,
11077,99801018000,7838 MARTIN WAY E #17,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
11078,99801019700,8510 MARTIN WAY NE # 19,OLYMPIA,WA,98516,6000.0,0.0,6000.0,0.0,0.0,1,0,
11079,99801028700,4209 20TH LN NE # 27,OLYMPIA,WA,98516,25900.0,0.0,25900.0,0.0,0.0,1,0,
11080,99801028800,PO BOX 1526,YELM,WA,98597,3000.0,0.0,3000.0,0.0,0.0,1,0,
11081,99801037900,2307 ALONDA LN NE,OLYMPIA,WA,98516,28600.0,0.0,28600.0,47.0607,-122.82445,1,1,
