latitude,longitude
47.24832051,-121.99153313
47.25007631,-121.99037268
47.25258501,-121.98882293
47.25581976,-121.98583567
47.25544266,-121.98711447
47.25289815,-121.98951773
47.25359072,-121.9892123
47.25373535,-121.98799133
47.25447905,-121.9897868
47.24777306,-121.98926857
47.24313283,-121.9744895
47.24933244,-121.99089112
47.24851031,-121.98891029
47.24570645,-121.97852255
47.24329341,-121.97788286
47.25100238,-121.99092474
47.2514355,-121.99147666
47.25409182,-121.98719484
47.2538963,-121.99049314
47.24948496,-121.97731125
47.24924782,-121.97495157
47.24950854,-121.97584581
47.24876765,-121.97828752
47.248261,-121.97812891
47.24671456,-121.97877847
47.25213114,-121.99056115
47.24577085,-121.97986152
47.24322243,-121.98307485
47.25197688,-121.97689786
47.25062461,-121.97819207
47.25038071,-121.99452049
47.24882569,-121.99452497
47.24789139,-121.9944527
47.24754101,-121.97581833
47.25214909,-121.98023538
47.25122605,-121.98112906
47.25310504,-121.98428637
47.25503832,-121.99052298
47.25562081,-121.98101041
47.25551329,-121.97525954
47.25423134,-121.97515455
47.25509683,-121.97716388
47.25370892,-121.98089061
47.25556765,-121.98259191
47.24315327,-121.97608872
47.24677379,-121.99207243
47.33966218,-122.23049737
47.33977829,-122.23605038
47.33287663,-122.24883741
47.33437694,-122.23060095
47.33249489999999,-122.24891853
47.3395475,-122.23499152
47.33154414,-122.24192736
47.33171134,-122.24855939
47.33180998,-122.24648875
47.33001975,-122.24649804
47.33003829,-122.24858786
47.33967959,-122.23103157
47.33968728,-122.23140105
47.33969292,-122.23189354
47.33294336,-122.24799573
47.3325205,-122.24788979
47.29028016,-122.25560483
47.28055037,-122.24789072
47.28113529,-122.24753652
47.28100952,-122.24755061
47.28088617,-122.24755047
47.28076282,-122.2475503
47.28066324,-122.24745682
47.28051319,-122.2475346
47.28035447,-122.24750690000002
47.28019957,-122.24754076
47.28024347,-122.24698384
47.28036684,-122.24698403
47.2804902,-122.24698423
47.28061356,-122.24698442
47.28073692,-122.24698461
47.28086028,-122.24698482
47.28098364,-122.24698502
47.281107,-122.2469852
47.28123037,-122.2469854
47.28135372,-122.2469856
47.27999997,-122.24766719
47.28000474,-122.2474615
47.28012012,-122.24698371
47.27999676,-122.24698374
47.27987064,-122.24699914
47.27963874,-122.24688295
47.27963793,-122.2470822
47.28147709,-122.24698578
47.28160731,-122.24698599
47.28174437,-122.24698622
47.28188144,-122.24698645
47.28201851,-122.24698664
47.28215559,-122.24698687
47.28229266,-122.24698709
47.28242252,-122.24698731
47.28254351,-122.24698546
47.28266494,-122.24701691
47.28247498,-122.24744540000002
47.28247315,-122.24762361
47.28247272,-122.24780483
47.28240321,-122.24799526
47.2820321,-122.24820907
47.28205429999999,-122.24798528
47.28205479,-122.24780415
47.28205528,-122.24762295
47.28205436,-122.24744247
47.2817427,-122.24744209
47.28174044,-122.24762241
47.28173987,-122.24780359999998
47.28173929,-122.24798476
47.28173874,-122.24816591
47.28027075,-122.25019884
47.33138716,-122.17602491
47.33138801,-122.17579247
47.33139051,-122.17558248
47.33138154,-122.17537499
47.33138964,-122.17517355
47.33138849,-122.17494946
47.33139502,-122.17471997
47.33104475,-122.17487342
47.3309249,-122.17486475
47.33080698,-122.17485332
47.33070409,-122.17485909
47.33058985,-122.17485896
47.33047951,-122.17485053
47.33036891,-122.17486449
47.3302584,-122.17487006
47.33013635,-122.17488653
47.33003756,-122.1748672
47.32991645,-122.17496491
47.33050657,-122.17545897
47.33064178,-122.17545683
47.33077503,-122.17546025
47.33091405,-122.17545822
47.33105708,-122.17543948
47.33106416,-122.1759662
47.3309233,-122.17596258
47.33078438,-122.17595622
47.33064162,-122.17595255
47.33048386,-122.17592890000002
47.20678195,-121.99734277
47.20678107,-121.99715749
47.20678065,-121.99698982
47.20712458,-121.99728814
47.20723687,-121.99728491
47.20736479,-121.99728337
47.20751736,-121.99728011
47.20765623,-121.99728418
47.20781311,-121.99722169
47.20806929,-121.99728924
