area_code_list,bounds_east,bounds_north,bounds_south,bounds_west,common_city_list,county,housing_units,land_area_in_sqmi,lat,lng,major_city,median_home_value,median_household_income,occupied_housing_units,population,population_density,post_office_city,radius_in_miles,water_area_in_sqmi,zipcode,zipcode_type
['509'],-121.520982,45.782568,45.707382,-121.648913,['Underwood'],Skamania County,432.0,17.85,45.7,-121.7,Underwood,283500.0,60441.0,372.0,939.0,53.0,"Underwood, WA",11.0,1.82,98651,Standard
['360'],-122.664842,45.786513,45.618162,-122.774511,['Vancouver'],Clark County,5552.0,14.94,45.7,-122.7,Vancouver,194900.0,38014.0,5125.0,11858.0,794.0,"Vancouver, WA",10.0,8.61,98660,Standard
['360'],-122.591521,45.678836,45.608139,-122.675332,['Vancouver'],Clark County,18556.0,10.62,45.64,-122.63,Vancouver,193500.0,39665.0,17174.0,41740.0,3929.0,"Vancouver, WA",3.0,0.71,98661,Standard
['360'],-122.548809,45.747847,45.639427,-122.602233,['Vancouver'],Clark County,12331.0,12.87,45.69,-122.57,Vancouver,200800.0,55986.0,11761.0,31644.0,2458.0,"Vancouver, WA",5.0,0.0,98662,Standard
['360'],-122.63599,45.677915,45.625923,-122.692663,['Vancouver'],Clark County,6197.0,4.3,45.65,-122.66,Vancouver,191900.0,49358.0,5828.0,14115.0,3283.0,"Vancouver, WA",3.0,0.03,98663,Standard
['360'],-122.548529,45.642057,45.597269,-122.607706,['Vancouver'],Clark County,9487.0,5.26,45.62,-122.58,Vancouver,196200.0,53290.0,8964.0,21771.0,4141.0,"Vancouver, WA",2.0,0.3,98664,Standard
['360'],-122.593358,45.693892,45.655273,-122.728934,['Vancouver'],Clark County,10045.0,8.03,45.7,-122.66,Vancouver,213500.0,49983.0,9524.0,24057.0,2995.0,"Vancouver, WA",5.0,0.09,98665,Standard
['509'],-121.063099,45.899483,45.819014,-121.197146,"['Wahkiacus', 'Klickitat']",Klickitat County,71.0,25.66,45.9,-121.1,Wahkiacus,225000.0,27083.0,51.0,113.0,4.0,"Wahkiacus, WA",8.0,0.0,98670,Standard
['360'],-122.085594,45.689501,45.543541,-122.386138,['Washougal'],Clark County,8593.0,86.3,45.7,-122.2,Washougal,254100.0,68358.0,7934.0,21220.0,246.0,"Washougal, WA",16.0,6.24,98671,Standard
['509'],-121.315338,45.930628,45.697947,-121.608928,['White Salmon'],Klickitat County,2771.0,145.33,45.8,-121.5,White Salmon,293300.0,52783.0,2416.0,6146.0,42.0,"White Salmon, WA",12.0,1.36,98672,Standard
['360'],-122.451694,46.025194,45.850536,-122.812215,['Woodland'],Cowlitz County,4606.0,82.95,45.9,-122.6,Woodland,245100.0,64572.0,4316.0,12029.0,145.0,"Woodland, WA",12.0,4.55,98674,Standard
['360'],-122.24472,45.924473,45.663869,-122.529834,['Yacolt'],Clark County,2052.0,118.06,45.8,-122.4,Yacolt,257400.0,59085.0,1917.0,6713.0,57.0,"Yacolt, WA",12.0,0.05,98675,Standard
['360'],-122.393051,45.716702,45.637842,-122.570462,['Vancouver'],Clark County,18926.0,30.15,45.67,-122.48,Vancouver,186400.0,58274.0,18027.0,52893.0,1754.0,"Vancouver, WA",6.0,0.0,98682,Standard
['360'],-122.475759,45.621297,45.578681,-122.559399,['Vancouver'],Clark County,13684.0,7.26,45.6,-122.5,Vancouver,254100.0,54168.0,12900.0,30832.0,4246.0,"Vancouver, WA",4.0,0.51,98683,Standard
['360'],-122.45684,45.643628,45.614666,-122.56314,['Vancouver'],Clark County,10316.0,6.97,45.63,-122.52,Vancouver,216300.0,58549.0,9808.0,26968.0,3867.0,"Vancouver, WA",3.0,0.0,98684,Standard
['360'],-122.652219,45.739676,45.692777,-122.734909,['Vancouver'],Clark County,9903.0,9.73,45.72,-122.69,Vancouver,260400.0,77231.0,9529.0,26217.0,2696.0,"Vancouver, WA",3.0,0.15,98685,Standard
