latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE,area
46.9646165182909,-122.574931035595,"53",Y,,,"1",D,54884505.360
46.9646688657435,-122.574870231268,"53",Y,,,"1",D,54884505.360
46.9646910664136,-122.574847021477,"53",Y,,,"1",D,54884505.360
46.9647804779794,-122.574779391482,"53",Y,,,"1",D,54884505.360
46.965193,-122.575643,"53",Y,,,"1",D,54884505.360
46.964569,-122.57507,"53",Y,,,"1",D,54884505.360
46.965836646109,-122.576088815328,"53",Y,,,"1",D,54884505.360
46.9664925768379,-122.576392134743,"53",Y,,,"1",D,54884505.360
46.9678300166906,-122.579393061627,"53",Y,,,"1",D,54884505.360
46.9671609583669,-122.577481483548,"53",Y,,,"1",D,54884505.360
46.9661898303386,-122.577058018763,"53",Y,,,"1",D,54884505.360
